Name,Local authority,Zone,Opening,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,POP-Density-1841,POP-Density-1851,POP-Density-1861,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areasqkm,ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,PopDensityAtDate,PopDensRank1841
Streatham railway station,Lambeth,,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,19,4,9999,0,5912,7
Streatham Hill railway station,Lambeth,,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,19,4,9999,0,5912,7
West Norwood railway station,Lambeth,,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,19,4,9999,0,5912,7
Uxbridge Vine Street railway station,Hillingdon,,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,19,2,9999,0,162,26
Wandsworth Common railway station,Wandsworth,3,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,19,4,9999,0,883,13
Beckenham Junction station,Bromley,4,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,20,6,9999,0,114,32
Catford Bridge railway station,Lewisham,,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,20,10,9999,0,1183,11
Ladywell railway station,Lewisham,3,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,20,10,9999,0,1183,11
Lower Sydenham railway station,Lewisham,4,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,20,10,9999,0,1183,11
New Barnet railway station,Barnet,5,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,20,2,9999,0,153,27
New Beckenham railway station,Bromley,4,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,20,6,9999,0,114,32
Tidal Basin railway station,Newham,,1857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,20,7,9999,0,687,14
Bickley railway station,Bromley,5,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,21,11,9999,0,114,32
Birkbeck station (defunct),Bromley,,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,21,11,9999,0,114,32
Bromley South railway station,Bromley,5,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,21,11,9999,0,114,32
Shortlands railway station,Bromley,,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,21,11,9999,0,114,32
St Mary Cray railway station,Bromley,6,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,21,11,9999,0,114,32
Hammersmith and Chiswick railway station,Hounslow,,1858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,21,6,9999,0,413,16
Belvedere railway station,Bexley,,1859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,22,2,9999,0,181,25
Worcester Park railway station,Sutton,4,1859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,22,5,9999,0,147,28
Brondesbury railway station,Brent,2,1860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,23,2,9999,0,131,29
Finchley Road & Frognal railway station,Camden,2,1860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,23,8,9999,0,12394,5
Gospel Oak railway station,Camden,2,1860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,23,8,9999,0,12394,5
Hampstead Heath railway station,Camden,3,1860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,23,8,9999,0,12394,5
Kentish Town West railway station,Camden,2,1860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,23,8,9999,0,12394,5
Finsbury Park station,Islington,2,1861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,24,4,9999,0,17901,4
Elephant & Castle station,Southwark,1,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,25,7,9999,0,9834,6
Herne Hill railway station,Lambeth,2,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,25,6,9999,0,7616,7
Penge East railway station,Bromley,4,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,25,12,9999,0,221,32
Streatham Common railway station,Lambeth,3,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,25,6,9999,0,7616,7
Sydenham Hill railway station,Southwark,3,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,25,7,9999,0,9834,6
Thornton Heath railway station,Croydon,4,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,25,8,9999,0,488,21
Victoria station,Westminster,1,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17175,19686,19686,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,25,2,9999,0,20776,2
West Dulwich railway station,Southwark,3,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,25,7,9999,0,9834,6
Camberwell New Road railway station,Southwark,,1862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,25,7,9999,0,9834,6
Balham railway station,Wandsworth,3,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,26,6,1,0,2177,13
Farringdon station,Islington,1,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,26,5,1,2,17901,4
Hampton Wick railway station,Richmond,6,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,26,5,1,0,700,15
King's Cross Thameslink,Camden,1,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,26,9,1,4,13826,5
Silvertown railway station,Newham,3,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,26,8,1,0,1915,14
Wandsworth Road railway station,Wandsworth,,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,26,6,1,0,2177,13
Walworth Road railway station,Southwark,,1863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,26,8,1,0,9834,6
Chadwell Heath railway station,Barking and Dagenham,5,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,133,133,166,198,231,462,695,1046,1876,3364,3966,4675,4562,4452,4128,4050,9,1,9,0,36,27,3,2,0,166,31
Charing Cross railway station,Westminster,1,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17175,19686,19686,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,27,3,2,8,20776,2
Clock House railway station,Bromley,,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,27,14,2,0,221,32
Elmers End railway station,Bromley,,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,27,14,2,0,221,32
Fulwell railway station,Richmond,6,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,27,7,2,0,700,15
Hampton railway station,Richmond,6,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,27,7,2,0,700,15
Hayes & Harlington railway station,Hillingdon,5,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,27,3,2,0,179,26
Kensington (Olympia) station,Kensington and Chelsea,2,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,5720,5720,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,27,2,2,2,10621,8
Loughborough Junction railway station,Lambeth,2,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,27,7,2,0,7616,7
Peckham Rye railway station,Southwark,2,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,27,12,2,0,9834,6
Teddington railway station,Richmond,6,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,27,7,2,0,700,15
Addiscombe railway station,Croydon,,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,27,9,2,0,488,21
Borough Road railway station,Southwark,,1864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,27,12,2,0,9834,6
Battersea Park railway station,Wandsworth,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,28,7,3,0,2177,13
Belmont railway station,Sutton,5,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,28,6,3,0,269,28
Chislehurst railway station,Bromley,5,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,28,17,3,0,221,32
Harringay railway station,Haringey,3,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,28,4,3,0,1171,18
Moorgate station,City of London,1,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,41568,1
Nunhead railway station,Southwark,2,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,28,13,3,0,9834,6
Selhurst railway station,Croydon,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,28,9,3,0,488,21
Broad Street station,City of London,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,41568,1
Coborn Road railway station,Tower Hamlets,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,28,9,3,0,20744,3
Crystal Palace (High Level) railway station,Bromley,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,28,17,3,0,221,32
Dalston Junction railway station,Hackney,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,28,6,3,0,9044,9
Haggeston railway station,Hackney,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,28,6,3,0,9044,9
Lordship Lane railway station,Southwark,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,28,13,3,0,9834,6
Ludgate Hill railway station,City of London,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,41568,1
Shoreditch railway station,Hackney,,1865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,28,6,3,0,9044,9
Bexley railway station,Bexley,6,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,29,6,4,0,272,25
Cannon Street station,City of London,1,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,29,7,4,4,41568,1
Clapham High Street railway station,Lambeth,,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,29,9,4,0,7616,7
Crayford railway station,Bexley,6,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,29,6,4,0,272,25
Denmark Hill railway station,Southwark,2,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,29,17,4,0,9834,6
Hither Green railway station,Lewisham,3,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,29,12,4,0,2189,11
Lee railway station,Lewisham,3,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,29,12,4,0,2189,11
Mottingham railway station,Greenwich,4,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,29,8,4,0,1580,12
Queens Road Peckham railway station,Southwark,,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,29,17,4,0,9834,6
Sidcup railway station,Bexley,5,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,29,6,4,0,272,25
Slade Green railway station,Bexley,6,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,29,6,4,0,272,25
South Bermondsey railway station,Southwark,2,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,29,17,4,0,9834,6
Willesden Junction station,Brent,3,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,29,3,4,0,341,29
Croydon Central railway station,Croydon,,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,29,10,4,0,488,21
East Brixton railway station,Lambeth,,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,29,9,4,0,7616,7
Old Kent Road railway station,Southwark,,1866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,29,17,4,0,9834,6
Crouch End railway station,Haringey,,1867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,30,5,5,1,1171,18
Edgware railway station,Barnet,,1867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,30,3,5,3,261,27
Grosvenor Road railway station,Westminster,,1867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17175,19686,19686,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,30,4,5,9,20776,2
Acton Main Line railway station,Ealing,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,31,5,6,0,441,22
Carshalton railway station,Sutton,5,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,31,7,6,0,269,28
Chelsfield railway station,Bromley,6,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,31,19,6,0,221,32
Cricklewood railway station,Barnet,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,31,6,6,3,261,27
Crouch Hill railway station,Islington,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,31,7,6,2,17901,4
East Dulwich railway station,Southwark,2,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,31,19,6,0,9834,6
Hackbridge railway station,Sutton,4,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,31,7,6,0,269,28
Harold Wood railway station,Havering,6,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,31,3,6,0,114,33
Haydons Road railway station,Merton,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,31,6,6,0,375,23
Hendon railway station,Barnet,4,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,31,6,6,3,261,27
Homerton railway station,Hackney,2,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,31,7,6,0,9044,9
Kentish Town station,Camden,2,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,31,12,6,4,13826,5
Mill Hill Broadway railway station,Barnet,4,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,31,6,6,3,261,27
Mitcham Junction railway station,Merton,4,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,31,6,6,0,375,23
North Dulwich railway station,Southwark,2,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,31,19,6,0,9834,6
Orpington railway station,Bromley,6,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,31,19,6,0,221,32
St Pancras railway station,Camden,1,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,31,12,6,4,13826,5
Tooting railway station,Merton,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,31,6,6,0,375,23
Tulse Hill railway station,Lambeth,3,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,31,9,6,0,7616,7
