administrative_district,year,population_density,log_popdens,normalized_local_density,normalized_london_density,share_of_london_pop,tubestationsperperson,map_code,tube_stations_add,tube_stations_cum,train_stations,tube_station_density,train_station_density,area,population,ring,year_1801,year_1811,year_1821,year_1831,year_1841,year_1851,year_1861,year_1871,year_1881,year_1891,year_1901,year_1911,year_1921,year_1931,year_1941,year_1951,year_1961,year_1971,year_1981,year_1991,year_2001,barking_and_dagenham,barnet,bexley,brent,bromley,camden,city_of_london,croydon,ealing,enfield,greenwich,hackney,hammersmith_and_fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington_and_chelsea,kingston_upon_thames,lambeth,lewisham,merton,newham,redbridge,richmond_upon_thames,southwark,sutton,tower_hamlets,waltham_forest,wandsworth,westminster,logtsd,pop_dens_10yearsago,pop_dens_20yearsago,pop_dens_10yearsfuture,pop_dens_20yearsfuture
Croydon,1891,1252,7.13,0.32,0.02,0.02,0,19,0,0,,0,,86.52,108339,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,723,1640,2149
Croydon,1901,1640,7.4,0.42,0.03,0.02,0,19,0,0,,0,,86.52,141918,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,958,2149,2562
Croydon,1911,2149,7.67,0.56,0.04,0.03,0,19,0,0,,0,,86.52,185914,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640,1252,2562,3055
Croydon,1921,2562,7.85,0.66,0.05,0.03,0,19,0,0,,0,,86.52,221692,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,1640,3055,3251
Croydon,1931,3055,8.02,0.79,0.06,0.03,0,19,0,0,,0,,86.52,264358,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2562,2149,3251,3459
Croydon,1941,3251,8.09,0.84,0.06,0.04,0,19,0,0,,0,,86.52,281273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,2562,3459,3653
Croydon,1951,3459,8.15,0.9,0.07,0.04,0,19,0,0,,0,,86.52,299271,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251,3055,3653,3860
Croydon,1961,3653,8.2,0.95,0.07,0.04,0,19,0,0,,0,,86.52,316084,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3459,3251,3860,3656
Croydon,1971,3860,8.26,1,0.08,0.04,0,19,0,0,,0,,86.52,333942,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3653,3459,3656,3690
Croydon,1981,3656,8.2,0.95,0.07,0.05,0,19,0,0,,0,,86.52,316296,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860,3653,3690,3822
Croydon,1991,3690,8.21,0.96,0.07,0.05,0,19,0,0,,0,,86.52,319218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3656,3860,3822,0
Croydon,2001,3822,8.25,0.99,0.07,0.05,0,19,0,0,,0,,86.52,330688,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690,3656,0,0
Ealing,1801,73,4.29,0.01,0,0,0,13,0,0,,0,,55.53,4033,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,98
Ealing,1811,82,4.41,0.02,0,0,0,13,0,0,,0,,55.53,4578,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,98,117
Ealing,1821,98,4.59,0.02,0,0,0,13,0,0,,0,,55.53,5455,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,73,117,197
Ealing,1831,117,4.76,0.02,0,0,0,13,0,0,,0,,55.53,6510,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,82,197,206
Ealing,1841,197,5.28,0.04,0,0.01,0,13,0,0,,0,,55.53,10919,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,98,206,441
Ealing,1851,206,5.33,0.04,0,0.01,0,13,0,0,,0,,55.53,11434,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,117,441,676
Ealing,1861,441,6.09,0.08,0.01,0.01,0,13,0,0,,0,,55.53,24489,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,197,676,911
Ealing,1871,676,6.52,0.12,0.01,0.01,0,13,0,0,,0,,55.53,37544,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,206,911,1224
Ealing,1881,911,6.81,0.17,0.02,0.01,0,13,4,4,,0.0720331,,55.53,50599,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069557,676,441,1224,1899
Ealing,1891,1224,7.11,0.22,0.02,0.01,0,13,0,4,,0.0720331,,55.53,67976,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069557,911,676,1899,2947
Ealing,1901,1899,7.55,0.35,0.04,0.02,0,13,0,4,,0.0720331,,55.53,105463,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069557,1224,911,2947,3430
Ealing,1911,2947,7.99,0.54,0.06,0.02,0,13,0,4,,0.0720331,,55.53,163628,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069557,1899,1224,3430,3994
Ealing,1921,3430,8.14,0.63,0.07,0.03,0,13,1,5,,0.0900414,,55.53,190486,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862157,2947,1899,3994,4669
Ealing,1931,3994,8.29,0.73,0.08,0.03,0,13,2,7,,0.126058,,55.53,221801,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118723,3430,2947,4669,5457
Ealing,1941,4669,8.45,0.86,0.09,0.03,0,13,7,14,,0.252116,,55.53,259250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248349,3994,3430,5457,5434
Ealing,1951,5457,8.6,1,0.11,0.04,0,13,4,18,,0.3241491,,55.53,303029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,4669,3994,5434,5413
Ealing,1961,5434,8.6,1,0.11,0.04,0,13,0,18,,0.3241491,,55.53,301757,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,5457,4669,5413,5018
Ealing,1971,5413,8.6,0.99,0.11,0.04,0,13,0,18,,0.3241491,,55.53,300577,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,5434,5457,5018,5074
Ealing,1981,5018,8.52,0.92,0.1,0.04,0,13,0,18,,0.3241491,,55.53,278671,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,5413,5434,5074,5420
Ealing,1991,5074,8.53,0.93,0.1,0.04,0,13,0,18,,0.3241491,,55.53,281743,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,5018,5413,5420,0
Ealing,2001,5420,8.6,0.99,0.11,0.04,0,13,0,18,,0.3241491,,55.53,300947,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2807701,5074,5018,0,0
Enfield,1801,131,4.88,0.04,0,0.01,0,30,0,0,,0,,82.2,10789,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,193
Enfield,1811,161,5.08,0.05,0,0.01,0,30,0,0,,0,,82.2,13249,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,193,204
Enfield,1821,193,5.26,0.05,0,0.01,0,30,0,0,,0,,82.2,15876,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,131,204,220
Enfield,1831,204,5.32,0.06,0,0.01,0,30,0,0,,0,,82.2,16745,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,161,220,229
Enfield,1841,220,5.4,0.06,0,0.01,0,30,0,0,,0,,82.2,18111,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,193,229,326
Enfield,1851,229,5.44,0.06,0,0.01,0,30,0,0,,0,,82.2,18854,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,204,326,423
Enfield,1861,326,5.79,0.09,0.01,0.01,0,30,0,0,,0,,82.2,26819,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,220,423,520
Enfield,1871,423,6.05,0.12,0.01,0.01,0,30,0,0,,0,,82.2,34784,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,229,520,834
Enfield,1881,520,6.25,0.15,0.01,0.01,0,30,0,0,,0,,82.2,42750,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,326,834,1254
Enfield,1891,834,6.73,0.23,0.02,0.01,0,30,0,0,,0,,82.2,68557,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,423,1254,1885
Enfield,1901,1254,7.13,0.35,0.02,0.02,0,30,0,0,,0,,82.2,103049,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,520,1885,2157
Enfield,1911,1885,7.54,0.53,0.04,0.02,0,30,0,0,,0,,82.2,154907,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,834,2157,2469
Enfield,1921,2157,7.68,0.61,0.04,0.02,0,30,0,0,,0,,82.2,177309,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885,1254,2469,2962
Enfield,1931,2469,7.81,0.69,0.05,0.03,0,30,0,0,,0,,82.2,202969,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,1885,2962,3554
Enfield,1941,2962,7.99,0.83,0.06,0.03,0,30,3,3,,0.0364963,,82.2,243489,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358461,2469,2157,3554,3405
Enfield,1951,3554,8.18,1,0.07,0.04,0,30,1,4,,0.0486618,,82.2,292100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,2962,2469,3405,3263
Enfield,1961,3405,8.13,0.96,0.07,0.04,0,30,0,4,,0.0486618,,82.2,279907,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,3554,2962,3263,3129
Enfield,1971,3263,8.09,0.92,0.06,0.04,0,30,0,4,,0.0486618,,82.2,268239,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,3405,3554,3129,3201
Enfield,1981,3129,8.05,0.88,0.06,0.04,0,30,0,4,,0.0486618,,82.2,257169,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,3263,3405,3201,3328
Enfield,1991,3201,8.07,0.9,0.06,0.04,0,30,0,4,,0.0486618,,82.2,263096,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,3129,3263,3328,0
Enfield,2001,3328,8.11,0.94,0.07,0.04,0,30,0,4,,0.0486618,,82.2,273563,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475149,3201,3129,0,0
Greenwich,1801,356,5.88,0.07,0.01,0.02,0,22,0,0,,0,,47.35,16866,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,532
Greenwich,1811,441,6.09,0.09,0.01,0.02,0,22,0,0,,0,,47.35,20900,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,532,636
Greenwich,1821,532,6.28,0.11,0.01,0.02,0,22,0,0,,0,,47.35,25208,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,356,636,809
Greenwich,1831,636,6.46,0.13,0.01,0.02,0,22,0,0,,0,,47.35,30113,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,441,809,1102
Greenwich,1841,809,6.7,0.16,0.02,0.02,0,22,0,0,,0,,47.35,38284,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,532,1102,1580
Greenwich,1851,1102,7.01,0.22,0.02,0.02,0,22,0,0,,0,,47.35,52190,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,636,1580,2057
Greenwich,1861,1580,7.37,0.32,0.03,0.02,0,22,0,0,,0,,47.35,74801,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,809,2057,2535
Greenwich,1871,2057,7.63,0.42,0.04,0.02,0,22,0,0,,0,,47.35,97413,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1102,2535,3681
Greenwich,1881,2535,7.84,0.52,0.05,0.03,0,22,0,0,,0,,47.35,120024,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,1580,3681,3908
Greenwich,1891,3681,8.21,0.75,0.07,0.03,0,22,0,0,,0,,47.35,174316,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,2057,3908,4149
Greenwich,1901,3908,8.27,0.8,0.08,0.03,0,22,0,0,,0,,47.35,185062,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3681,2535,4149,4510
Greenwich,1911,4149,8.33,0.85,0.08,0.03,0,22,0,0,,0,,47.35,196471,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,3681,4510,4903
Greenwich,1921,4510,8.41,0.92,0.09,0.03,0,22,0,0,,0,,47.35,213562,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,3908,4903,4812
Greenwich,1931,4903,8.5,1,0.1,0.03,0,22,0,0,,0,,47.35,232142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4510,4149,4812,4724
Greenwich,1941,4812,8.48,0.98,0.09,0.03,0,22,0,0,,0,,47.35,227864,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4903,4510,4724,4653
Greenwich,1951,4724,8.46,0.96,0.09,0.03,0,22,0,0,,0,,47.35,223674,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4812,4903,4653,4583
Greenwich,1961,4653,8.45,0.95,0.09,0.03,0,22,0,0,,0,,47.35,220305,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,4812,4583,4432
Greenwich,1971,4583,8.43,0.93,0.09,0.03,0,22,0,0,,0,,47.35,216993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4653,4724,4432,4509
Greenwich,1981,4432,8.4,0.9,0.09,0.03,0,22,0,0,,0,,47.35,209868,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4583,4653,4509,4531
Greenwich,1991,4509,8.41,0.92,0.09,0.03,0,22,0,0,,0,,47.35,213488,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4432,4583,4531,0
Greenwich,2001,4531,8.42,0.92,0.09,0.03,0,22,1,1,,0.0211193,,47.35,214540,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208994,4509,4432,0,0
Hackney,1801,766,6.64,0.04,0.02,0.01,0,9,0,0,,0,,19.06,14609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,1330
Hackney,1811,1024,6.93,0.05,0.02,0.02,0,9,0,0,,0,,19.06,19523,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,1330,1862
Hackney,1821,1330,7.19,0.07,0.03,0.02,0,9,0,0,,0,,19.06,25342,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,766,1862,3581
Hackney,1831,1862,7.53,0.09,0.04,0.02,0,9,0,0,,0,,19.06,35482,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,1024,3581,4982
